time_bin_start,time_bin_end,mean,median,min,max,std,count
1754911562,1754911572,44.83,44.35,36.7,53.9,6.7,10
1754911572,1754911582,45.95,45.85,38.0,52.8,4.17,10
1754911582,1754911592,44.25,43.45,38.1,52.1,5.47,10
1754911592,1754911602,47.07,47.8,36.7,60.0,6.93,10
1754911602,1754911612,48.41,47.55,38.2,58.2,5.78,10
1754911612,1754911622,46.47,45.45,36.0,58.4,7.37,10
1754911622,1754911632,47.0,49.1,38.5,55.0,6.04,10
1754911632,1754911642,44.86,45.0,37.0,55.1,5.69,10
1754911642,1754911652,47.04,47.6,40.0,57.9,5.28,10
1754911652,1754911662,45.66,44.55,36.8,60.1,7.26,10
1754911662,1754911672,48.98,48.3,37.6,55.9,5.08,10
1754911672,1754911682,45.15,44.35,39.1,53.8,4.29,10
1754911682,1754911692,47.22,46.8,37.8,57.3,6.11,10
1754911692,1754911702,48.1,48.95,35.3,63.7,8.01,10
1754911702,1754911712,45.64,45.85,37.9,53.1,4.2,10
1754911712,1754911722,46.07,47.0,38.8,52.1,4.35,10
1754911722,1754911732,47.51,47.3,36.0,55.2,5.23,10
1754911732,1754911742,47.7,44.85,39.2,63.9,8.14,10
1754911742,1754911752,45.71,44.7,35.9,55.1,7.18,10
1754911752,1754911762,48.75,47.75,38.7,60.2,6.51,10
1754911762,1754911772,48.08,48.25,37.0,66.1,7.76,10
1754911772,1754911782,47.9,48.75,38.2,52.9,4.33,10
1754911782,1754911792,44.74,44.4,36.9,52.1,4.92,10
1754911792,1754911802,45.91,46.9,37.2,52.1,4.73,10
1754911802,1754911812,45.51,45.05,37.7,56.7,6.16,10
1754911812,1754911822,44.53,44.95,36.7,50.7,4.03,10
1754911822,1754911832,44.95,45.9,38.8,50.7,4.06,10
1754911832,1754911842,43.94,43.55,36.7,51.1,4.97,10
1754911842,1754911852,45.85,46.2,40.0,50.3,3.32,10
1754911852,1754911862,44.31,42.8,37.9,50.9,4.21,10
1754911862,1754911872,46.75,47.35,38.5,51.8,3.93,10
1754911872,1754911882,42.52,42.95,36.1,49.8,4.42,10
1754911882,1754911892,42.82,44.2,36.6,49.8,4.29,10
1754911892,1754911902,45.15,43.85,37.9,53.7,5.29,10
1754911902,1754911912,44.91,45.4,36.7,52.8,5.3,10
1754911912,1754911922,43.91,43.4,37.8,51.0,4.91,10
1754911922,1754911932,46.81,46.95,35.8,63.8,8.07,10
1754911932,1754911942,47.69,48.7,35.6,55.9,5.35,10
1754911942,1754911952,46.33,45.45,38.2,57.9,6.27,10
1754911952,1754911962,44.06,42.8,38.5,51.6,3.53,10
1754911962,1754911972,47.86,46.9,37.3,59.9,9.06,7
