time_bin_start,time_bin_end,mean,median,min,max,std,count
1754914135,1754914145,46.64,45.45,40.32223871104515,53.042187831248675,5.67,5
1754914145,1754914155,8.34,0.42,0.0,40.64023743905024,18.06,5
1754914155,1754914165,40.53,41.38,31.566673733305066,45.70701717193131,5.48,5
1754914165,1754914175,44.03,41.36,39.728641085435655,50.09539961840153,5.03,5
1754914175,1754914185,44.93,46.98,34.36506253974984,52.4061903752385,6.83,5
1754914185,1754914195,42.48,41.51,39.34704261182955,47.233411066355735,3.33,5
1754914195,1754914205,47.39,47.13,41.424634301462795,52.3001907992368,3.99,5
1754914205,1754914215,46.39,45.01,41.89103243587026,55.225779096883606,5.25,5
1754914215,1754914225,41.36,41.62,29.0438838244647,48.378206487174054,7.66,5
1754914225,1754914235,29.25,29.0,20.64871740513038,35.95505617977528,5.85,5
1754914235,1754914245,8.74,7.93,4.685181259274962,12.083951664193343,2.64,7
1754914245,1754914255,11.52,11.94,6.974772100911595,18.104727581089676,4.63,5
1754914255,1754914265,10.87,10.92,8.034767860928556,13.50434598261607,1.94,7
1754914265,1754914275,3.06,2.37,0.3391986432054272,5.55437778248887,2.35,5
1754914275,1754914285,6.09,5.45,3.3919864320542716,9.624761500953996,2.44,7
1754914285,1754914295,8.75,9.75,5.723977104091584,10.069959720161119,2.0,7
1754914295,1754914305,13.77,12.87,7.271570913716345,20.66991732033072,4.96,7
1754914305,1754914315,9.48,9.27,3.519185923256307,15.818490245971162,4.54,6
1754914315,1754914325,8.69,0.32,0.1695993216027136,40.979436082255674,18.06,5
1754914325,1754914335,10.02,1.36,0.1695993216027136,54.42018231927073,21.76,6
1754914335,1754914345,11.82,7.25,3.5827856688573245,34.06826372694509,12.58,5
1754914345,1754914355,0.53,0.28,0.0847996608013568,2.2047911808352767,0.75,7
1754914355,1754914365,0.86,0.34,0.0423998304006784,3.2435870256518973,1.24,6
1754914365,1754914375,0.61,0.23,0.0423998304006784,2.7135891456434176,0.95,7
1754914375,1754914385,35.76,41.33,0.7631969472122111,59.61416154335383,24.98,4
1754914385,1754914395,32.15,42.66,0.31799872800508794,56.49777400890397,23.92,5
1754914395,1754914405,2.84,0.34,0.0635997456010176,12.953148187407251,5.66,5
1754914405,1754914415,0.68,0.19,0.0423998304006784,2.90438838244647,1.12,6
1754914415,1754914425,3.34,0.59,0.0,10.85435658257367,4.64,5
1754914425,1754914435,0.19,0.0,0.0,0.5723977104091583,0.33,3
1754914435,1754914445,2.6,2.23,0.0,5.935976256094976,2.61,4
1754914445,1754914455,10.99,15.96,0.0,17.002331990672037,9.53,3
1754914475,1754914485,2.27,2.27,2.2683909264362945,2.2683909264362945,,1
1754914485,1754914495,3.2,3.48,1.483994064023744,4.897180411278355,1.21,6
