timestamp,latency,tx_bitrate_mbps,latitude,longitude
1754910698,51.2,0.338,48.261681,11.664761
1754910699,73.0,0.278,48.261699,11.664607
1754910700,69.7,0.384,48.261717,11.664452
1754910701,42.4,0.241,48.261736,11.664295
1754910702,47.9,0.276,48.261755,11.664138
1754910703,47.3,0.284,48.261774,11.66398
1754910704,49.8,0.418,48.261793,11.663821
1754910705,57.1,0.377,48.261812,11.663662
1754910706,44.8,0.242,48.261831,11.6635
1754910707,53.1,0.326,48.26185,11.663337
1754910708,51.8,0.288,48.26187,11.663172
1754910709,49.8,0.358,48.26189,11.663004
1754910710,45.7,0.363,48.26191,11.662835
1754910711,50.7,0.328,48.26193,11.662667
1754910712,52.7,0.342,48.261949,11.662503
1754910713,48.1,0.391,48.261968,11.662339
1754910714,41.9,0.309,48.261987,11.662174
1754910715,52.6,0.31,48.262007,11.662007
1754910716,48.0,0.304,48.262026,11.661841
1754910717,50.6,0.293,48.262046,11.661674
1754910718,55.0,0.27,48.262065,11.661509
1754910719,48.9,0.316,48.262083,11.661345
1754910720,47.9,0.319,48.262103,11.661183
1754910721,42.0,0.381,48.262122,11.661023
1754910722,45.6,0.336,48.26214,11.660863
1754910723,46.1,0.303,48.262159,11.660706
1754910724,52.4,0.246,48.262177,11.660548
1754910725,56.5,0.326,48.262197,11.660392
1754910726,56.1,0.333,48.262216,11.660236
1754910727,66.1,0.463,48.262237,11.660083
1754910728,53.7,0.288,48.262257,11.659933
1754910729,50.0,0.308,48.262274,11.659783
1754910730,53.8,0.347,48.262289,11.659636
1754910731,49.3,0.239,48.262305,11.659493
1754910732,56.0,0.36,48.262325,11.659353
1754910733,40.0,0.255,48.262355,11.659219
1754910734,53.8,0.312,48.262393,11.659092
1754910735,55.6,0.347,48.26243,11.658965
1754910736,42.7,0.308,48.262462,11.65884
1754910737,41.8,0.343,48.262488,11.65872
1754910738,50.3,0.392,48.262511,11.658614
1754910739,59.1,0.341,48.262534,11.658527
1754910740,41.9,0.354,48.26256,11.65846
1754910741,48.1,0.323,48.262587,11.658415
1754910742,37.7,0.304,48.262611,11.658392
1754910743,44.9,0.404,48.262626,11.65838
1754910744,38.1,0.296,48.262636,11.658374
1754910745,54.1,0.349,48.262638,11.658373
1754910746,59.7,0.287,48.262638,11.658373
1754910747,56.8,0.401,48.262638,11.658373
1754910748,60.8,0.301,48.262638,11.658373
1754910749,50.1,0.321,48.262638,11.658373
1754910750,43.9,0.238,48.262638,11.658373
1754910751,42.0,0.392,48.262638,11.658373
1754910752,45.9,0.295,48.262638,11.658373
1754910753,47.8,0.388,48.262638,11.658373
1754910754,44.9,0.311,48.262638,11.658373
1754910755,47.5,0.302,48.262638,11.658373
1754910756,45.8,0.332,48.262638,11.658373
1754910757,52.2,0.3,48.262638,11.658373
1754910758,40.9,0.342,48.262638,11.658373
1754910759,48.9,0.323,48.262638,11.658373
1754910760,42.7,0.317,48.262638,11.658373
1754910761,55.1,0.29,48.262639,11.658373
1754910762,35.8,0.341,48.262651,11.658366
1754910763,44.7,0.242,48.262682,11.658356
1754910764,46.7,0.333,48.262728,11.658359
1754910765,50.7,0.422,48.262783,11.658387
1754910766,43.6,0.403,48.262846,11.65843
1754910767,46.1,0.257,48.262918,11.658481
1754910768,51.4,0.349,48.262999,11.65854
1754910769,48.1,0.239,48.263087,11.658605
1754910770,44.0,0.323,48.263179,11.658674
1754910771,44.8,0.293,48.263275,11.658746
1754910772,48.5,0.262,48.263375,11.65882
1754910773,44.9,0.243,48.263481,11.658897
1754910774,58.8,0.409,48.263595,11.658979
1754910775,123.0,0.244,48.263712,11.659065
1754910776,52.8,0.247,48.263831,11.659155
1754910777,50.4,0.248,48.263951,11.659249
1754910778,45.5,0.242,48.264073,11.659342
1754910779,51.0,0.328,48.264194,11.659435
1754910780,50.8,0.326,48.264315,11.659529
1754910781,44.7,0.25,48.264435,11.659621
1754910782,45.8,0.327,48.264553,11.659712
1754910783,50.1,0.252,48.264669,11.659803
1754910784,43.8,0.362,48.264785,11.659894
1754910785,52.7,0.362,48.264899,11.659982
1754910786,55.0,0.321,48.265011,11.660067
1754910787,47.3,0.321,48.265123,11.660153
1754910788,53.9,0.336,48.265234,11.660238
1754910789,35.5,0.243,48.265346,11.660327
1754910790,49.9,0.215,48.26546,11.660417
1754910791,39.5,0.29,48.265578,11.66051
1754910792,43.6,0.312,48.265699,11.660606
1754910793,50.5,0.306,48.265823,11.660706
1754910794,56.1,0.356,48.265949,11.66081
1754910795,69.8,0.324,48.266077,11.660917
1754910796,52.0,0.245,48.266206,11.661027
1754910797,53.0,0.233,48.266334,11.661139
1754910798,44.1,0.309,48.266462,11.661252
1754910799,45.0,0.24,48.266589,11.661367
1754910800,41.8,0.316,48.266716,11.661483
1754910801,46.7,0.371,48.266843,11.661599
1754910802,50.6,0.225,48.266969,11.661717
1754910803,54.0,0.248,48.267094,11.661835
1754910804,62.1,0.304,48.267218,11.661954
1754910805,48.0,0.323,48.267343,11.662076
1754910806,43.9,0.234,48.267468,11.662199
1754910807,46.1,0.242,48.267592,11.662322
1754910808,52.4,0.325,48.267716,11.662446
1754910809,56.5,0.288,48.26784,11.662571
1754910810,53.8,0.29,48.267964,11.662696
1754910811,42.0,0.273,48.268091,11.662824
1754910812,46.7,0.237,48.268218,11.662952
1754910813,58.3,0.247,48.268346,11.66308
1754910814,46.2,0.282,48.268474,11.663207
1754910815,48.9,0.254,48.2686,11.663331
1754910816,45.9,0.294,48.268722,11.663449
1754910817,55.9,0.278,48.268841,11.663565
1754910818,40.1,0.31,48.268956,11.663678
1754910819,38.1,0.345,48.269068,11.66379
1754910820,50.9,0.238,48.269178,11.663899
1754910821,53.8,0.294,48.269286,11.664008
1754910822,48.9,0.331,48.269393,11.664115
1754910823,43.4,0.303,48.2695,11.664224
1754910824,42.0,0.36,48.269607,11.664334
1754910825,49.8,0.398,48.269713,11.664444
1754910826,45.8,0.362,48.269815,11.664555
1754910827,52.0,0.327,48.26991,11.664666
1754910828,46.1,0.227,48.269997,11.664771
1754910829,40.8,0.258,48.27008,11.664868
1754910830,50.2,0.316,48.270163,11.664958
1754910831,48.8,0.272,48.270251,11.665051
1754910832,42.6,0.356,48.270343,11.665148
1754910833,38.9,0.313,48.27044,11.665248
1754910834,44.1,0.345,48.27054,11.665351
1754910835,47.7,0.309,48.270644,11.665452
1754910836,41.6,0.286,48.270754,11.66555
1754910837,44.6,0.246,48.270865,11.665651
1754910838,45.7,0.286,48.270975,11.665754
1754910839,44.0,0.266,48.271081,11.665857
1754910840,62.2,0.237,48.271182,11.665959
1754910841,61.0,0.341,48.271279,11.666059
1754910842,52.0,0.326,48.271373,11.666157
1754910843,45.9,0.275,48.271465,11.666255
1754910844,55.6,0.292,48.271556,11.66635
1754910845,40.7,0.432,48.271646,11.666444
1754910846,57.3,0.235,48.271734,11.666536
1754910847,57.3,0.401,48.271824,11.666628
1754910848,47.9,0.269,48.271914,11.666722
1754910849,39.4,0.306,48.272005,11.666816
1754910850,55.3,0.335,48.272097,11.666912
1754910851,60.8,0.286,48.27219,11.667008
1754910852,60.8,0.263,48.272282,11.667104
1754910853,43.8,0.287,48.272372,11.667199
1754910854,41.9,0.364,48.272463,11.667293
1754910855,43.4,0.22,48.272555,11.667388
1754910856,41.6,0.262,48.272645,11.667481
1754910857,57.0,0.338,48.272735,11.667573
1754910858,46.4,0.201,48.272822,11.667664
1754910859,50.4,0.262,48.272911,11.667756
1754910860,55.8,0.232,48.273001,11.66785
1754910861,39.9,0.283,48.273094,11.667945
