timestamp,total,lost,time_interval,latitude,longitude
1754913757,4717,113,3.633149,48.290859,11.679908
1754913761,4717,30,3.911821,48.291474,11.680199
1754913764,4717,0,2.707509,48.291931,11.68042
1754913767,4717,0,2.750301,48.292389,11.680635
1754913771,4717,0,3.106853,48.293008,11.680927
1754913774,4717,0,2.864267,48.293478,11.681149
1754913778,4717,0,3.145441,48.294114,11.681436
1754913781,4717,1,2.808515,48.294591,11.681655
1754913784,4717,0,2.255422,48.295069,11.681862
1754913787,4717,0,2.845658,48.295553,11.682053
1754913790,4717,15,2.475671,48.296043,11.682237
1754913792,4717,49,1.592848,48.296373,11.682356
1754913794,4717,0,1.591069,48.296705,11.682466
1754913796,4717,0,1.359509,48.297038,11.682568
1754913798,4717,308,2.000412,48.297372,11.682665
1754913800,4717,0,1.722067,48.297707,11.682758
1754913803,4717,3,1.999308,48.298211,11.682889
1754913805,4717,5,1.930277,48.298546,11.682975
1754913809,4717,226,3.210378,48.29922,11.683136
1754913812,4717,0,3.169496,48.299731,11.683249
1754913817,4717,0,3.900771,48.300586,11.683443
1754913820,4717,0,2.219832,48.301099,11.683558
1754913824,4717,0,3.222344,48.301779,11.683715
1754913827,4717,2,3.247833,48.302289,11.683828
1754913829,4717,2,1.639571,48.302629,11.683903
1754913834,4717,89,4.146504,48.303474,11.684114
1754913839,4717,993,5.126534,48.304317,11.684374
1754913844,4717,2,4.455989,48.305156,11.684697
1754913846,4717,73,1.502868,48.305495,11.684848
1754913856,4717,1180,9.309422,48.3072,11.685688
1754913861,4717,850,4.392455,48.308028,11.686105
1754913865,4717,4,2.405978,48.308684,11.686433
1754913871,4717,541,5.620851,48.309658,11.686916
1754913874,4717,141,3.213109,48.310144,11.687164
1754913878,4717,0,2.160571,48.310791,11.687488
1754913881,4717,0,2.514561,48.311259,11.687721
1754913884,4717,15,3.254419,48.311675,11.68793
1754913894,4717,94,9.020021,48.312909,11.688559
1754913897,4717,102,1.644545,48.313283,11.688751
1754913910,4717,189,11.182974,48.314826,11.689535
1754913911,4717,9,1.51813,48.314935,11.689582
1754913913,4717,3,1.297188,48.315147,11.689677
1754913915,4717,0,1.702688,48.315342,11.689776
1754913917,4717,1,1.398503,48.31551,11.689866
1754913919,4717,3,1.092803,48.315633,11.689932
1754913920,4717,0,1.077798,48.315681,11.689949
1754913922,4717,0,1.121842,48.31576,11.689912
1754913923,4717,49,1.272242,48.315784,11.689853
1754913926,4717,11,2.02815,48.315794,11.689547
1754913929,4717,0,2.554737,48.315759,11.689147
1754913932,4717,0,2.849874,48.315683,11.688707
1754913934,4716,0,1.80374,48.315599,11.688415
1754913936,4717,0,1.07602,48.315497,11.688121
1754913938,4717,0,1.39541,48.315393,11.687821
1754913941,4717,0,2.710245,48.315283,11.687343
1754913943,4717,0,2.051761,48.315245,11.687
1754913946,4717,0,1.891379,48.315211,11.686486
1754913947,4717,6,1.189149,48.315201,11.686317
1754913949,4717,0,1.184435,48.315183,11.685973
